family_size	count	fraction	fraction_gt_or_eq_family_size
567	1	3.09729E-8	0.000038
568	2	6.19457E-8	0.000038
569	1	3.09729E-8	0.000038
571	4	1.23891E-7	0.000038
573	1	3.09729E-8	0.000038
574	2	6.19457E-8	0.000038
575	1	3.09729E-8	0.000038
576	1	3.09729E-8	0.000038
577	1	3.09729E-8	0.000037
578	1	3.09729E-8	0.000037
580	3	9.29186E-8	0.000037
581	1	3.09729E-8	0.000037
582	2	6.19457E-8	0.000037
583	1	3.09729E-8	0.000037
584	2	6.19457E-8	0.000037
588	1	3.09729E-8	0.000037
589	2	6.19457E-8	0.000037
592	1	3.09729E-8	0.000037
593	2	6.19457E-8	0.000037
594	2	6.19457E-8	0.000037
595	1	3.09729E-8	0.000037
596	6	1.85837E-7	0.000037
597	2	6.19457E-8	0.000037
599	1	3.09729E-8	0.000037
601	1	3.09729E-8	0.000037
603	2	6.19457E-8	0.000037
604	1	3.09729E-8	0.000036
605	1	3.09729E-8	0.000036
606	1	3.09729E-8	0.000036
608	1	3.09729E-8	0.000036
609	3	9.29186E-8	0.000036
610	3	9.29186E-8	0.000036
611	2	6.19457E-8	0.000036
612	1	3.09729E-8	0.000036
616	1	3.09729E-8	0.000036
618	1	3.09729E-8	0.000036
620	2	6.19457E-8	0.000036
621	1	3.09729E-8	0.000036
622	1	3.09729E-8	0.000036
624	1	3.09729E-8	0.000036
625	2	6.19457E-8	0.000036
626	1	3.09729E-8	0.000036
628	1	3.09729E-8	0.000036
631	1	3.09729E-8	0.000036
632	1	3.09729E-8	0.000036
633	3	9.29186E-8	0.000036
634	1	3.09729E-8	0.000036
636	2	6.19457E-8	0.000036
639	1	3.09729E-8	0.000035
642	3	9.29186E-8	0.000035
643	2	6.19457E-8	0.000035
644	1	3.09729E-8	0.000035
645	1	3.09729E-8	0.000035
646	1	3.09729E-8	0.000035
647	1	3.09729E-8	0.000035
649	2	6.19457E-8	0.000035
650	1	3.09729E-8	0.000035
651	3	9.29186E-8	0.000035
653	1	3.09729E-8	0.000035
655	1	3.09729E-8	0.000035
657	2	6.19457E-8	0.000035
658	3	9.29186E-8	0.000035
661	1	3.09729E-8	0.000035
662	1	3.09729E-8	0.000035
663	3	9.29186E-8	0.000035
667	2	6.19457E-8	0.000035
669	1	3.09729E-8	0.000035
670	1	3.09729E-8	0.000035
671	1	3.09729E-8	0.000035
673	2	6.19457E-8	0.000034
674	1	3.09729E-8	0.000034
676	1	3.09729E-8	0.000034
679	1	3.09729E-8	0.000034
682	3	9.29186E-8	0.000034
684	2	6.19457E-8	0.000034
685	4	1.23891E-7	0.000034
686	1	3.09729E-8	0.000034
688	1	3.09729E-8	0.000034
689	2	6.19457E-8	0.000034
690	1	3.09729E-8	0.000034
691	2	6.19457E-8	0.000034
693	2	6.19457E-8	0.000034
694	2	6.19457E-8	0.000034
697	1	3.09729E-8	0.000034
698	1	3.09729E-8	0.000034
700	2	6.19457E-8	0.000034
703	2	6.19457E-8	0.000034
709	2	6.19457E-8	0.000034
710	1	3.09729E-8	0.000033
711	1	3.09729E-8	0.000033
712	2	6.19457E-8	0.000033
713	1	3.09729E-8	0.000033
717	2	6.19457E-8	0.000033
722	1	3.09729E-8	0.000033
723	1	3.09729E-8	0.000033
724	2	6.19457E-8	0.000033
726	4	1.23891E-7	0.000033
728	1	3.09729E-8	0.000033
730	1	3.09729E-8	0.000033
731	2	6.19457E-8	0.000033
732	2	6.19457E-8	0.000033
733	2	6.19457E-8	0.000033
734	1	3.09729E-8	0.000033
736	3	9.29186E-8	0.000033
737	2	6.19457E-8	0.000033
741	2	6.19457E-8	0.000033
743	1	3.09729E-8	0.000032
745	3	9.29186E-8	0.000032
747	2	6.19457E-8	0.000032
748	1	3.09729E-8	0.000032
749	1	3.09729E-8	0.000032
755	1	3.09729E-8	0.000032
760	1	3.09729E-8	0.000032
761	3	9.29186E-8	0.000032
764	2	6.19457E-8	0.000032
765	1	3.09729E-8	0.000032
766	2	6.19457E-8	0.000032
768	1	3.09729E-8	0.000032
770	1	3.09729E-8	0.000032
771	2	6.19457E-8	0.000032
773	1	3.09729E-8	0.000032
774	1	3.09729E-8	0.000032
776	1	3.09729E-8	0.000032
777	1	3.09729E-8	0.000032
784	1	3.09729E-8	0.000032
785	1	3.09729E-8	0.000032
787	2	6.19457E-8	0.000032
788	1	3.09729E-8	0.000032
790	2	6.19457E-8	0.000032
792	1	3.09729E-8	0.000031
793	1	3.09729E-8	0.000031
797	2	6.19457E-8	0.000031
799	2	6.19457E-8	0.000031
800	1	3.09729E-8	0.000031
802	1	3.09729E-8	0.000031
806	1	3.09729E-8	0.000031
809	3	9.29186E-8	0.000031
812	1	3.09729E-8	0.000031
814	2	6.19457E-8	0.000031
815	1	3.09729E-8	0.000031
817	1	3.09729E-8	0.000031
818	1	3.09729E-8	0.000031
819	1	3.09729E-8	0.000031
821	1	3.09729E-8	0.000031
822	1	3.09729E-8	0.000031
824	1	3.09729E-8	0.000031
825	1	3.09729E-8	0.000031
827	1	3.09729E-8	0.000031
828	2	6.19457E-8	0.000031
831	1	3.09729E-8	0.000031
832	3	9.29186E-8	0.000031
833	1	3.09729E-8	0.000031
839	1	3.09729E-8	0.000031
840	1	3.09729E-8	0.00003
841	1	3.09729E-8	0.00003
845	2	6.19457E-8	0.00003
846	1	3.09729E-8	0.00003
847	2	6.19457E-8	0.00003
849	2	6.19457E-8	0.00003
852	2	6.19457E-8	0.00003
859	2	6.19457E-8	0.00003
864	1	3.09729E-8	0.00003
866	1	3.09729E-8	0.00003
869	1	3.09729E-8	0.00003
870	2	6.19457E-8	0.00003
871	1	3.09729E-8	0.00003
872	2	6.19457E-8	0.00003
873	2	6.19457E-8	0.00003
874	1	3.09729E-8	0.00003
878	1	3.09729E-8	0.00003
881	1	3.09729E-8	0.00003
882	1	3.09729E-8	0.00003
884	1	3.09729E-8	0.00003
888	1	3.09729E-8	0.00003
889	1	3.09729E-8	0.00003
893	2	6.19457E-8	0.00003
894	1	3.09729E-8	0.000029
898	1	3.09729E-8	0.000029
899	1	3.09729E-8	0.000029
900	1	3.09729E-8	0.000029
901	1	3.09729E-8	0.000029
902	1	3.09729E-8	0.000029
904	1	3.09729E-8	0.000029
909	1	3.09729E-8	0.000029
913	1	3.09729E-8	0.000029
914	1	3.09729E-8	0.000029
915	2	6.19457E-8	0.000029
916	1	3.09729E-8	0.000029
917	1	3.09729E-8	0.000029
918	1	3.09729E-8	0.000029
919	1	3.09729E-8	0.000029
920	1	3.09729E-8	0.000029
922	3	9.29186E-8	0.000029
929	1	3.09729E-8	0.000029
934	2	6.19457E-8	0.000029
936	1	3.09729E-8	0.000029
937	1	3.09729E-8	0.000029
938	3	9.29186E-8	0.000029
941	2	6.19457E-8	0.000029
942	1	3.09729E-8	0.000029
943	1	3.09729E-8	0.000029
945	3	9.29186E-8	0.000028
946	1	3.09729E-8	0.000028
951	2	6.19457E-8	0.000028
953	2	6.19457E-8	0.000028
956	1	3.09729E-8	0.000028
960	1	3.09729E-8	0.000028
963	1	3.09729E-8	0.000028
966	2	6.19457E-8	0.000028
967	1	3.09729E-8	0.000028
969	1	3.09729E-8	0.000028
970	1	3.09729E-8	0.000028
971	1	3.09729E-8	0.000028
972	2	6.19457E-8	0.000028
978	2	6.19457E-8	0.000028
